insert into jogadores_jogos_equipas values
--id_equipa, id_jogo, id_jogador, titular, numero_jogador
--futebol -> primeira liga
--primeira jornada
(1,36,1, 1,1),
(1,36,2, 1,2),
(1,36,3, 1,3),
(1,36,4, 1,4),
(1,36,5, 1,5),
(1,36,6, 1,6),
(1,36,7, 1,7),
(1,36,8, 1,8),
(1,36,9, 1,9),
(1,36,10,1,10),
(1,36,11,1,11),
(1,36,12,0,12),
(1,36,13,0,13),
(1,36,14,0,14),
(1,36,15,0,15),

(10,36,61, 1,1),
(10,36,62, 1,2),
(10,36,63, 1,3),
(10,36,64, 1,4),
(10,36,65, 1,5),
(10,36,66, 1,6),
(10,36,67, 1,7),
(10,36,68, 1,8),
(10,36,69, 1,9),
(10,36,70, 1,10),
(10,36,71, 1,11),
(10,36,72, 0,12),
(10,36,73, 0,13),
(10,36,74, 0,14),
(10,36,75, 0,15),

(16,34,91, 1,1),
(16,34,92, 1,2),
(16,34,93, 1,3),
(16,34,94, 1,4),
(16,34,95, 1,5),
(16,34,96, 1,6),
(16,34,97, 1,7),
(16,34,98, 1,8),
(16,34,99, 1,9),
(16,34,100, 1,10),
(16,34,101, 1,11),
(16,34,102, 0,12),
(16,34,103, 0,13),
(16,34,104, 0,14),
(16,34,105, 0,15),


(33,34,211,1,1),
(33,34,212,1,2),
(33,34,213,1,3),
(33,34,214,1,4),
(33,34,215,1,5),
(33,34,216,1,6),
(33,34,217,1,7),
(33,34,218,1,8),
(33,34,219,1,9),
(33,34,220,1,10),
(33,34,221,1,11),
(33,34,222,0,12),
(33,34,223,0,13),
(33,34,224,0,14),
(33,34,225,0,15),


--segunda jornada

(1,16,1, 1,1),
(1,16,2, 1,2),
(1,16,3, 1,3),
(1,16,4, 1,4),
(1,16,5, 0,5),
(1,16,6, 0,6),
(1,16,7, 0,7),
(1,16,8, 1,8),
(1,16,9, 1,9),
(1,16,10,1,10),
(1,16,11,1,11),
(1,16,12,0,12),
(1,16,13,1,13),
(1,16,14,1,14),
(1,16,15,1,15),

(10,25,61, 1,1),
(10,25,62, 1,2),
(10,25,63, 1,3),
(10,25,64, 1,4),
(10,25,65, 0,5),
(10,25,66, 0,6),
(10,25,67, 0,7),
(10,25,68, 0,8),
(10,25,69, 1,9),
(10,25,70, 1,10),
(10,25,71, 1,11),
(10,25,72, 1,12),
(10,25,73, 1,13),
(10,25,74, 1,14),
(10,25,75, 1,15),

(16,25,91, 1,1),
(16,25,92, 1,2),
(16,25,93, 1,3),
(16,25,94, 1,4),
(16,25,95, 1,5),
(16,25,96, 1,6),
(16,25,97, 1,7),
(16,25,98, 1,8),
(16,25,99, 1,9),
(16,25,100, 1,10),
(16,25,101, 1,11),
(16,25,102, 0,12),
(16,25,103, 0,13),
(16,25,104, 0,14),
(16,25,105, 0,15),


(33,16,211,1,1),
(33,16,212,1,2),
(33,16,213,1,3),
(33,16,214,1,4),
(33,16,215,1,5),
(33,16,216,1,6),
(33,16,217,1,7),
(33,16,218,1,8),
(33,16,219,1,9),
(33,16,220,1,10),
(33,16,221,1,11),
(33,16,222,0,12),
(33,16,223,0,13),
(33,16,224,0,14),
(33,16,225,0,15),


--terceira jornada

(1,42,1, 1,1),
(1,42,2, 1,2),
(1,42,3, 1,3),
(1,42,4, 1,4),
(1,42,5, 0,5),
(1,42,6, 0,6),
(1,42,7, 0,7),
(1,42,8, 1,8),
(1,42,9, 1,9),
(1,42,10,1,10),
(1,42,11,1,11),
(1,42,12,0,12),
(1,42,13,1,13),
(1,42,14,1,14),
(1,42,15,1,15),

(10,17,61, 1,1),
(10,17,62, 1,2),
(10,17,63, 1,3),
(10,17,64, 1,4),
(10,17,65, 0,5),
(10,17,66, 0,6),
(10,17,67, 0,7),
(10,17,68, 0,8),
